10    300
shanghai28    3    101
shanghai7    2    102
shanghai17    11    102
shanghai37    4    101
shanghai33    8    102
shanghai28    7    102
shanghai33    8    101
shanghai6    8    101
shanghai25    9    102
shanghai32    1    101
shanghai25    9    102
shanghai26    9    101
shanghai22    5    102
shanghai20    10    102
shanghai28    3    101
shanghai13    10    102
shanghai35    8    102
shanghai3    3    102
shanghai31    7    101
shanghai9    9    101
shanghai11    8    101
shanghai32    1    102
shanghai25    2    101
shanghai2    10    102
shanghai15    6    102
shanghai22    5    101
shanghai15    6    101
shanghai25    2    101
shanghai23    5    102
shanghai6    8    101
shanghai11    12    102
shanghai3    1    102
shanghai22    7    101
shanghai23    4    101
shanghai15    2    102
shanghai20    9    102
shanghai23    4    102
shanghai32    1    101
shanghai26    4    102
shanghai32    1    102
shanghai20    10    102
shanghai18    1    101
shanghai2    10    101
shanghai7    2    101
shanghai25    2    101
shanghai37    2    102
shanghai7    4    102
shanghai8    8    102
shanghai9    9    101
shanghai6    8    101
shanghai18    1    101
shanghai12    8    102
shanghai24    1    101
shanghai28    7    101
shanghai2    10    101
shanghai32    1    101
shanghai29    1    102
shanghai14    12    101
shanghai6    7    101
shanghai12    4    101
shanghai21    1    102
shanghai36    3    102
shanghai6    8    101
shanghai32    1    102
shanghai17    14    101
shanghai37    2    102
shanghai25    2    101
shanghai15    2    102
shanghai29    3    102
shanghai22    7    102
shanghai2    2    101
shanghai1    1    101
shanghai28    7    101
shanghai17    11    101
shanghai8    8    101
shanghai16    4    102
shanghai21    1    101
shanghai37    2    101
shanghai15    2    102
shanghai10    3    102
shanghai6    8    101
shanghai21    7    101
shanghai26    9    101
shanghai9    9    102
shanghai26    9    102
shanghai16    9    102
shanghai33    8    102
shanghai33    8    102
shanghai33    8    102
shanghai6    7    101
shanghai31    7    101
shanghai29    1    101
shanghai15    2    102
shanghai31    7    101
shanghai13    6    101
shanghai36    3    102
shanghai8    3    101
shanghai9    2    102
shanghai31    7    101
shanghai3    1    101
shanghai36    4    102
shanghai15    2    101
shanghai17    11    101
shanghai17    11    101
shanghai37    4    101
shanghai1    1    102
shanghai31    7    102
shanghai17    11    101
shanghai5    7    102
shanghai24    10    102
shanghai13    10    101
shanghai16    9    101
shanghai36    4    102
shanghai17    11    102
shanghai1    1    102
shanghai3    1    101
shanghai4    2    102
shanghai35    8    101
shanghai24    1    101
shanghai5    7    101
shanghai31    2    101
shanghai3    3    102
shanghai6    8    102
shanghai31    7    102
shanghai1    9    102
shanghai26    9    102
shanghai11    12    102
shanghai24    1    102
shanghai9    9    102
shanghai8    8    102
shanghai3    1    102
shanghai21    1    101
shanghai26    9    101
shanghai34    15    102
shanghai7    4    101
shanghai27    5    102
shanghai20    10    102
shanghai12    8    101
shanghai11    12    101
shanghai2    2    102
shanghai15    6    102
shanghai29    1    102
shanghai13    6    102
shanghai33    2    102
shanghai35    2    102
shanghai32    1    102
shanghai5    8    102
shanghai24    10    101
shanghai26    9    101
shanghai25    2    101
shanghai9    2    102
shanghai29    1    102
shanghai14    12    102
shanghai11    12    101
shanghai36    4    102
shanghai23    4    101
shanghai4    1    101
shanghai12    8    102
shanghai31    7    101
shanghai17    11    101
shanghai33    8    102
shanghai7    2    101
shanghai3    3    101
shanghai7    2    101
shanghai9    2    101
shanghai28    3    102
shanghai7    4    102
shanghai6    7    101
shanghai36    3    101
shanghai36    3    102
shanghai34    15    102
shanghai37    4    101
shanghai10    14    102
shanghai1    9    101
shanghai33    2    102
shanghai12    4    102
shanghai8    3    102
shanghai1    9    101
shanghai16    9    101
shanghai16    4    102
shanghai7    4    101
shanghai33    8    102
shanghai33    2    101
shanghai34    8    102
shanghai1    9    102
shanghai25    9    101
shanghai37    2    101
shanghai5    7    101
shanghai37    2    101
shanghai36    3    101
shanghai16    4    102
shanghai15    6    101
shanghai33    8    102
shanghai13    6    102
shanghai17    14    101
shanghai33    8    101
shanghai21    1    102
shanghai31    2    102
shanghai23    5    101
shanghai5    8    101
shanghai18    4    101
shanghai2    10    101
shanghai7    2    101
shanghai1    1    101
shanghai31    7    101
shanghai16    4    101
shanghai1    1    102
shanghai32    1    101
shanghai6    8    101
shanghai8    3    101
shanghai15    6    102
shanghai12    8    102
shanghai6    8    101
shanghai6    7    101
shanghai4    1    102
shanghai16    4    101
shanghai36    4    102
shanghai7    4    102
shanghai9    9    101
shanghai1    1    102
shanghai26    9    101
shanghai36    3    102
shanghai16    9    101
shanghai24    10    101
shanghai2    10    102
shanghai28    3    101
shanghai25    2    102
shanghai12    4    101
shanghai25    2    101
shanghai16    4    102
shanghai33    8    101
shanghai29    1    101
shanghai1    9    102
shanghai28    3    102
shanghai24    10    102
shanghai17    14    101
shanghai26    9    101
shanghai26    4    101
shanghai21    7    102
shanghai25    2    101
shanghai7    4    102
shanghai1    1    102
shanghai23    4    102
shanghai11    8    102
shanghai6    7    101
shanghai34    8    101
shanghai32    1    102
shanghai12    4    102
shanghai11    8    102
shanghai31    2    102
shanghai5    7    101
shanghai33    8    101
shanghai5    7    101
shanghai26    9    102
shanghai15    6    101
shanghai21    1    101
shanghai33    2    101
shanghai33    8    102
shanghai1    9    102
shanghai12    8    102
shanghai10    14    101
shanghai27    6    101
shanghai27    5    101
shanghai21    7    101
shanghai35    2    101
shanghai9    9    102
shanghai22    7    101
shanghai23    5    102
shanghai34    8    101
shanghai35    2    101
shanghai8    8    102
shanghai29    1    101
shanghai22    5    102
shanghai33    8    102
shanghai31    2    101
shanghai33    2    101
shanghai4    2    102
shanghai35    2    102
shanghai26    4    102
shanghai10    14    101
shanghai7    2    102
shanghai2    10    102
shanghai21    1    102
shanghai32    15    101
shanghai6    7    101
shanghai8    8    101
shanghai7    2    102
shanghai21    7    102
shanghai17    14    101
shanghai12    8    102
shanghai4    2    101
shanghai3    3    101
shanghai16    9    101
shanghai37    4    102
shanghai3    1    102
shanghai33    8    101
shanghai7    2    102
shanghai12    8    102
shanghai15    2    102
shanghai33    8    102
shanghai10    14    shanghai26    102
shanghai17    14    shanghai9    101
shanghai15    2    shanghai29    102
shanghai24    1    shanghai1    101
shanghai27    6    shanghai23    101
shanghai31    7    shanghai17    101
shanghai26    4    shanghai28    102
shanghai2    10    shanghai5    102
shanghai34    15    shanghai35    102
shanghai4    1    shanghai23    101
shanghai2    2    shanghai8    102
shanghai27    6    shanghai3    102
shanghai28    3    shanghai33    101
shanghai7    4    shanghai6    102
shanghai36    4    shanghai9    101
shanghai4    2    shanghai15    102
shanghai11    12    shanghai4    101
shanghai36    3    shanghai29    101
shanghai22    7    shanghai33    101
shanghai13    6    shanghai21    102
shanghai2    10    shanghai12    102
shanghai21    7    shanghai27    102
shanghai8    8    shanghai2    101
shanghai34    8    shanghai3    102
shanghai10    3    shanghai34    102
shanghai15    6    shanghai28    102
shanghai12    8    shanghai4    102
shanghai27    5    shanghai5    102
shanghai7    2    shanghai17    101
shanghai5    8    shanghai24    101
shanghai5    8    shanghai24    101
